commune,insee_code,secteur_id,label,rooms,epoch,furnished,dwelling_type,ref_minore,ref_median,ref_majore,year,source,zonage_source
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1946-1970,false,appartement,10.90,15.60,18.70,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1946-1970,true,appartement,12.10,17.30,20.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1971-1990,false,appartement,11.00,15.70,18.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1971-1990,true,appartement,12.20,17.40,20.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,<1946,false,appartement,11.20,16.00,19.20,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,<1946,true,appartement,12.50,17.80,21.40,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,>1990,false,appartement,11.00,15.70,18.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,>1990,true,appartement,12.20,17.40,20.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1946-1970,false,appartement,8.10,11.60,13.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1946-1970,true,appartement,9.00,12.90,15.50,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
